fid,lon,lat
"94",-72.8615205157449,19.3694879368815
"95",-72.8610024299588,19.3714120248827
"96",-72.8604509261567,19.3733268019127
"97",-72.8598661714982,19.3752316876069
"98",-72.8592483432211,19.3771261045986
"99",-72.8585976285877,19.3790094786942
"100",-72.8579142248282,19.3808812390475
"101",-72.8571983390808,19.3827408183319
"102",-72.8564501883288,19.3845876529132
"103",-72.855669999335,19.3864211830199
"104",-72.8548580085729,19.3882408529133
"105",-72.8540144621552,19.3900461110553
"106",-72.8531396157589,19.3918364102765
"107",-72.8522337345479,19.393611207941
"108",-72.8512970930928,19.3953699661117
"109",-72.8503299752875,19.3971121517129
"110",-72.8493326742633,19.3988372366921
"111",-72.8483054922998,19.4005446981799
"112",-72.8472487407336,19.4022340186485
"113",-72.8461627398638,19.4039046860688
"114",-72.8450478188548,19.4055561940651
"115",-72.8439043156365,19.4071880420692
"116",-72.8427325768024,19.4087997354715
"117",-72.8415329575037,19.4103907857713
"118",-72.8403058213424,19.411960710725
"119",-72.8390515402608,19.4135090344917
"120",-72.8377704944285,19.415035287778
"121",-72.8364630721278,19.41653900798
"122",-72.8351296696354,19.4180197393235
"123",-72.8337706911025,19.4194770330021
"124",-72.8323865484326,19.4209104473133
"125",-72.8309776611561,19.4223195477926
"126",-72.8295444563037,19.4237039073446
"127",-72.8280873682765,19.4250631063732
"128",-72.8266068387146,19.4263967329082
"129",-72.8251033163632,19.4277043827303
"130",-72.8235772569365,19.4289856594938
"131",-72.8220291229799,19.4302401748466
"132",-72.820459383729,19.431467548548
"133",-72.8188685149685,19.4326674085837
"134",-72.8172569988871,19.4338393912788
"135",-72.8156253239317,19.4349831414081
"136",-72.8139739846592,19.4360983123033
"137",-72.8123034815869,19.4371845659588
"138",-72.8106143210406,19.4382415731334
"139",-72.808907015001,19.4392690134507
"140",-72.8071820809488,19.4402665754958
"141",-72.8054400417076,19.4412339569099
"142",-72.8036814252855,19.4421708644818
"143",-72.8019067647153,19.4430770142371
"144",-72.8001165978926,19.4439521315236
"145",-72.7983114674129,19.4447959510954
"146",-72.7964919204072,19.4456082171926
"147",-72.7946585083763,19.4463886836192
"148",-72.792811787023,19.4471371138176
"149",-72.7909523160846,19.4478532809402
"150",-72.7890806591625,19.4485369679184
"151",-72.7871973835516,19.4491879675283
"152",-72.7853030600687,19.4498060824532
"153",-72.7833982628789,19.450391125344
"154",-72.7814835693219,19.4509429188754
"155",-72.7795595597371,19.4514612958002
"156",-72.7776268172875,19.4519460989993
"157",-72.775685927783,19.45239718153
"158",-72.7737374795028,19.4528144066703
"159",,
"160",,
